"Timestamp","TZ","M01 (lux)","M02 (lux)","Voltage_1 (mV)","Voltage_2 (mV)","Voltage_3 (mV)","Voltage_ 4 (mV)","Voltage_ 5 (mV)","Voltage_ 6 (mV)","Voltage_ 7 (mV)","Voltage_ 8 (mV)","Voltage_ 9 (mV)","Voltage_ 10 (mV)","Voltage_ 11 (mV)","Voltage_ 12 (mV)","Occ 1","Occ 2","Occ 3","Occ 4","Occ 5","Occ 6"
2018/05/30 15:25:46.000,n,-0.5,0,159.00924,10.011024,65.350236,21.248966,398.3276,18.924636,191.40574,10.20424,14.083494,29.959954,222.78518,44.659984,0,0,0,0,0,0
2018/05/30 15:25:47.002,n,-0.5,0,159.00924,10.011024,65.15702,21.436818,398.3276,18.924636,191.20714,10.20424,14.276712,29.761366,222.59196,44.273552,0,0,0,0,0,0
2018/05/30 15:25:48.000,n,-0.5,0,158.6228,10.20424,65.350236,21.630038,398.1344,19.112486,191.59896,10.011024,14.083494,29.761366,221.63662,44.074968,0,0,0,0,0,0
2018/05/30 15:25:49.000,n,-0.5,0,158.04852,9.23279,64.963808,21.055746,397.7426,18.146404,191.40574,9.426006,13.691694,29.761366,221.63662,44.074968,0,0,0,0,0,0
2018/05/30 15:25:50.001,n,-0.5,0,158.24172,9.81244,64.775956,21.055746,397.7426,18.73142,191.20714,9.81244,13.890278,30.147806,221.44338,44.273552,0,0,0,0,0,0
2018/05/30 15:25:51.000,n,-0.5,0,158.81602,9.81244,64.963808,21.248966,397.94116,18.33962,191.40574,10.011024,13.691694,29.761366,221.63662,43.881752,0,0,0,0,0,0
2018/05/30 15:25:52.000,n,-0.5,0,158.24172,9.619224,64.963808,20.857158,397.7426,18.532836,191.01394,9.619224,13.498478,29.568146,222.01766,44.466768,0,0,0,0,0,0
2018/05/30 15:25:53.001,n,-0.5,0,158.6228,9.81244,65.15702,21.436818,398.1344,18.532836,191.20714,9.81244,13.890278,29.959954,222.01766,44.273552,0,0,0,0,0,0
2018/05/30 15:25:54.006,n,-0.5,0,158.24172,9.23279,64.775956,20.663938,397.54936,18.73142,191.01394,9.619224,13.498478,29.761366,221.82446,44.273552,0,0,0,0,0,0
2018/05/30 15:25:55.000,n,-0.5,0,158.6228,9.81244,64.963808,21.055746,398.3276,18.33962,191.40574,9.81244,13.691694,29.761366,222.01766,44.074968,0,0,0,0,0,0
2018/05/30 15:25:56.190,n,-0.5,0,158.81602,9.81244,64.963808,21.248966,398.1344,18.532836,191.40574,9.81244,14.083494,29.959954,222.40412,44.273552,0,0,0,0,0,0
2018/05/30 15:25:57.006,n,-0.5,0,158.6228,10.011024,65.15702,21.248966,398.3276,18.73142,191.59896,9.81244,14.276712,29.959954,222.2109,44.466768,0,0,0,0,0,0
2018/05/30 15:25:58.000,n,-0.5,0,158.43494,9.619224,65.15702,20.857158,397.36152,18.33962,191.20714,9.426006,13.890278,29.761366,221.25018,44.074968,0,0,0,0,0,0
2018/05/30 15:25:59.000,n,-0.5,0,159.00924,9.81244,65.350236,21.436818,397.94116,18.33962,191.40574,10.20424,13.498478,29.761366,221.63662,44.273552,0,0,0,0,0,0
2018/05/30 15:26:00.006,n,-0.5,0,158.81602,10.011024,65.350236,21.630038,397.94116,18.924636,191.59896,10.011024,13.890278,29.761366,221.63662,44.466768,0,0,0,0,0,0
2018/05/30 15:26:01.000,n,-0.5,0,158.81602,9.619224,65.15702,21.248966,397.7426,18.73142,191.20714,10.011024,14.276712,29.959954,221.44338,44.074968,0,0,0,0,0,0
2018/05/30 15:26:02.000,n,-0.5,0,158.24172,9.619224,64.775956,21.055746,397.7426,18.532836,191.20714,9.81244,13.890278,29.761366,221.05158,43.881752,0,0,0,0,0,0
2018/05/30 15:26:03.169,n,-0.5,0,158.24172,9.81244,64.775956,21.248966,397.54936,18.924636,191.40574,9.619224,13.890278,29.761366,220.67054,43.881752,0,0,0,0,0,0
2018/05/30 15:26:04.000,n,-0.5,0,158.6228,10.011024,65.350236,21.630038,398.1344,18.73142,191.40574,10.20424,13.691694,29.568146,221.25018,44.074968,0,0,0,0,0,0
2018/05/30 15:26:05.000,n,-0.5,0,158.04852,9.23279,64.58274,20.857158,397.16832,18.532836,191.01394,9.426006,13.498478,29.568146,220.2841,43.500688,0,0,0,0,0,0
2018/05/30 15:26:06.004,n,-0.5,0,158.24172,9.81244,65.15702,21.248966,397.94116,18.924636,191.40574,10.011024,14.083494,29.959954,221.05158,43.881752,0,0,0,0,0,0
2018/05/30 15:26:07.000,n,-0.5,0,158.24172,10.20424,64.963808,21.248966,397.7426,18.33962,191.20714,9.81244,13.890278,29.568146,221.05158,44.074968,0,0,0,0,0,0
2018/05/30 15:26:08.000,n,-0.5,0,158.81602,9.426006,64.775956,21.055746,397.36152,18.146404,190.8207,9.619224,13.691694,29.568146,220.85838,44.273552,0,0,0,0,0,0
2018/05/30 15:26:09.003,n,-0.5,0,158.04852,9.23279,64.58274,20.857158,397.54936,18.146404,191.01394,9.619224,13.498478,29.568146,220.47732,43.881752,0,0,0,0,0,0
2018/05/30 15:26:10.000,n,-0.5,0,158.43494,9.81244,64.963808,21.248966,397.7426,18.532836,191.40574,9.619224,14.083494,29.761366,221.05158,44.273552,0,0,0,0,0,0
2018/05/30 15:26:11.138,n,-0.5,0,158.6228,10.20424,65.15702,22.021844,397.54936,18.924636,191.59896,10.20424,14.469928,29.959954,221.05158,44.074968,0,0,0,0,0,0
2018/05/30 15:26:12.003,n,-0.5,0,158.81602,10.585306,65.54882,21.436818,398.1344,18.924636,191.20714,10.20424,14.276712,29.959954,221.05158,44.074968,0,0,0,0,0,0
2018/05/30 15:26:13.000,n,-0.5,0,158.6228,10.20424,65.350236,21.436818,398.1344,18.924636,191.59896,10.011024,14.083494,29.761366,221.05158,44.074968,0,0,0,0,0,0
2018/05/30 15:26:14.000,n,-0.5,0,158.43494,10.20424,65.54882,21.828624,397.94116,18.924636,191.98002,10.011024,14.276712,29.959954,220.85838,44.273552,0,0,0,0,0,0
2018/05/30 15:26:15.002,n,-0.5,0,158.24172,9.619224,64.963808,21.055746,397.36152,18.33962,191.59896,9.81244,14.083494,30.147806,221.05158,44.273552,0,0,0,0,0,0
2018/05/30 15:26:16.007,n,-0.5,0,158.24172,9.619224,65.350236,21.055746,397.94116,18.532836,191.01394,10.011024,13.691694,29.959954,220.67054,43.881752,0,0,0,0,0,0
2018/05/30 15:26:17.000,n,-0.5,0,158.04852,9.426006,64.963808,20.663938,397.54936,18.73142,190.63286,9.619224,13.691694,29.761366,220.2841,43.881752,0,0,0,0,0,0
2018/05/30 15:26:18.001,n,-0.5,0,157.6567,9.426006,64.775956,20.663938,397.54936,18.33962,191.01394,9.81244,13.691694,29.568146,220.2841,43.881752,0,0,0,0,0,0
2018/05/30 15:26:19.007,n,-0.5,0,158.24172,9.81244,64.963808,21.630038,398.1344,18.73142,191.20714,9.81244,14.276712,29.959954,220.85838,44.074968,0,0,0,0,0,0
2018/05/30 15:26:20.000,n,-0.5,0,158.43494,10.011024,64.58274,20.857158,397.54936,18.532836,191.40574,9.619224,13.691694,29.761366,220.85838,43.881752,0,0,0,0,0,0
2018/05/30 15:26:21.001,n,-0.5,0,157.8553,9.619224,64.963808,21.055746,397.7426,18.532836,191.01394,9.619224,13.691694,29.761366,220.2841,44.074968,0,0,0,0,0,0
2018/05/30 15:26:22.006,n,-0.5,0,158.04852,9.81244,64.963808,21.436818,397.54936,18.73142,191.59896,10.20424,14.083494,29.761366,220.67054,43.6939,0,0,0,0,0,0
2018/05/30 15:26:23.000,n,-0.5,0,158.24172,9.619224,64.963808,21.248966,397.7426,18.73142,191.40574,9.81244,13.890278,29.761366,220.67054,43.881752,0,0,0,0,0,0
2018/05/30 15:26:24.001,n,-0.5,0,157.6567,9.23279,64.963808,20.857158,397.36152,18.33962,191.01394,9.619224,13.691694,29.959954,220.09088,43.881752,0,0,0,0,0,0
2018/05/30 15:26:25.007,n,-0.5,0,157.8553,9.426006,64.58274,21.055746,397.36152,18.73142,191.01394,9.426006,13.890278,29.374928,220.09088,43.881752,0,0,0,0,0,0
2018/05/30 15:26:26.000,n,-0.5,0,158.24172,9.619224,64.775956,21.055746,397.7426,18.73142,191.01394,9.81244,13.890278,30.147806,220.67054,43.881752,0,0,0,0,0,0
2018/05/30 15:26:27.000,n,-0.5,0,157.8553,9.426006,64.775956,20.857158,397.36152,18.532836,190.8207,9.619224,13.310628,29.181708,219.90304,43.6939,0,0,0,0,0,0
2018/05/30 15:26:28.005,n,-0.5,0,157.8553,9.619224,64.775956,20.857158,397.54936,18.532836,190.8207,9.426006,13.310628,29.568146,219.90304,43.6939,0,0,0,0,0,0
2018/05/30 15:26:29.000,n,-0.5,0,158.24172,10.011024,65.15702,21.248966,397.7426,18.532836,191.01394,9.619224,13.498478,29.761366,220.2841,43.881752,0,0,0,0,0,0
2018/05/30 15:26:30.000,n,-0.5,0,158.24172,9.81244,64.963808,21.248966,397.54936,18.532836,191.01394,9.81244,14.083494,29.568146,220.2841,43.6939,0,0,0,0,0,0
2018/05/30 15:26:31.004,n,-0.5,0,158.04852,9.81244,64.58274,21.436818,397.54936,18.924636,191.20714,9.619224,13.890278,29.959954,220.2841,43.6939,0,0,0,0,0,0
2018/05/30 15:26:32.000,n,-0.5,0,158.43494,9.81244,64.963808,21.248966,397.54936,18.73142,191.01394,9.81244,13.890278,29.761366,220.47732,43.3021,0,0,0,0,0,0
2018/05/30 15:26:33.000,n,-0.5,0,158.24172,10.011024,65.15702,21.436818,397.54936,18.924636,191.40574,10.392088,14.083494,29.959954,220.47732,43.881752,0,0,0,0,0,0
2018/05/30 15:26:34.004,n,-0.5,0,158.24172,10.011024,64.963808,21.630038,397.94116,18.73142,191.40574,10.20424,13.890278,29.959954,220.2841,44.074968,0,0,0,0,0,0
2018/05/30 15:26:35.000,n,-0.5,0,158.24172,10.20424,64.775956,21.436818,397.94116,18.532836,191.20714,9.81244,13.890278,29.568146,220.2841,43.881752,0,0,0,0,0,0
2018/05/30 15:26:36.000,n,-0.5,0,158.43494,10.20424,65.15702,21.248966,397.54936,18.924636,191.59896,10.011024,13.890278,29.568146,219.90304,43.881752,0,0,0,0,0,0
2018/05/30 15:26:37.149,n,-0.5,0,158.24172,10.392088,65.54882,21.436818,397.94116,19.112486,191.59896,10.011024,14.083494,30.341024,220.2841,44.273552,0,0,0,0,0,0
2018/05/30 15:26:38.218,n,-0.5,0,158.43494,10.392088,65.350236,21.630038,397.7426,18.924636,191.59896,10.20424,14.083494,29.959954,220.47732,44.074968,0,0,0,0,0,0
2018/05/30 15:26:39.000,n,-0.5,0,158.43494,10.20424,65.350236,21.630038,397.94116,18.924636,191.98002,10.20424,14.276712,29.761366,220.47732,43.6939,0,0,0,0,0,0
2018/05/30 15:26:40.002,n,-0.5,0,157.8553,9.23279,64.775956,20.663938,397.16832,18.532836,191.20714,9.619224,13.691694,29.568146,219.7098,43.500688,0,0,0,0,0,0
2018/05/30 15:26:41.007,n,-0.5,0,158.04852,9.619224,64.775956,21.055746,397.54936,18.33962,191.01394,9.81244,13.890278,29.959954,219.90304,44.074968,0,0,0,0,0,0
2018/05/30 15:26:42.000,n,-0.5,0,158.24172,9.81244,64.963808,21.055746,397.7426,18.532836,191.01394,9.81244,13.691694,29.959954,220.09088,43.881752,0,0,0,0,0,0
2018/05/30 15:26:43.002,n,-0.5,0,158.43494,9.81244,65.350236,21.248966,397.7426,19.112486,191.40574,10.011024,13.890278,29.568146,220.09088,44.273552,0,0,0,0,0,0
2018/05/30 15:26:44.153,n,-0.5,0,158.04852,9.81244,65.15702,21.055746,397.54936,18.532836,191.01394,10.011024,13.890278,29.959954,219.90304,43.6939,0,0,0,0,0,0
2018/05/30 15:26:45.000,n,-0.5,0,158.04852,9.81244,64.775956,21.248966,397.54936,18.532836,191.01394,10.20424,13.691694,29.761366,219.7098,43.881752,0,0,0,0,0,0
2018/05/30 15:26:46.001,n,-0.5,0,157.0824,9.23279,64.384156,20.663938,397.16832,18.146404,190.63286,9.619224,13.498478,29.959954,219.318,43.6939,0,0,0,0,0,0
2018/05/30 15:26:47.007,n,-0.5,0,157.8553,9.619224,64.775956,22.021844,397.7426,18.73142,191.20714,9.81244,13.691694,29.959954,219.7098,44.074968,0,0,0,0,0,0
2018/05/30 15:26:48.203,n,-0.5,0,158.43494,10.392088,65.350236,21.828624,398.1344,19.112486,191.20714,10.011024,13.890278,29.959954,220.09088,44.074968,0,0,0,0,0,0
2018/05/30 15:26:49.000,n,-0.5,0,158.04852,9.81244,65.15702,21.055746,397.36152,18.924636,191.98002,10.011024,14.276712,29.761366,219.90304,44.074968,0,0,0,0,0,0
2018/05/30 15:26:50.006,n,-0.5,0,158.04852,9.619224,64.775956,21.436818,397.16832,18.532836,191.20714,9.81244,13.890278,29.761366,219.90304,45.239632,0,0,0,0,0,0
2018/05/30 15:26:51.000,n,-0.5,0,158.24172,10.392088,65.15702,21.248966,397.36152,18.33962,191.01394,9.81244,13.498478,29.761366,219.90304,44.074968,0,0,0,0,0,0
2018/05/30 15:26:52.000,n,-0.5,0,158.24172,10.011024,65.742036,21.436818,397.7426,18.924636,191.40574,10.011024,14.083494,30.147806,220.09088,44.074968,0,0,0,0,0,0
2018/05/30 15:26:53.185,n,-0.5,0,158.81602,9.81244,64.963808,21.248966,397.36152,18.924636,191.20714,9.81244,13.691694,29.568146,219.5166,43.881752,0,0,0,0,0,0
2018/05/30 15:26:54.000,n,-0.5,0,157.6567,9.426006,64.58274,21.055746,396.97508,18.532836,190.8207,9.619224,13.691694,29.568146,219.5166,43.500688,0,0,0,0,0,0
2018/05/30 15:26:55.000,n,-0.5,0,157.6567,9.426006,64.963808,21.055746,397.16832,18.73142,191.20714,10.20424,13.890278,29.761366,219.90304,43.6939,0,0,0,0,0,0
2018/05/30 15:26:56.005,n,-0.5,0,158.24172,9.619224,65.15702,21.248966,397.54936,19.112486,191.20714,10.20424,14.083494,29.959954,219.90304,43.881752,0,0,0,0,0,0
2018/05/30 15:26:57.000,n,-0.5,0,158.43494,10.20424,65.350236,21.630038,397.36152,19.112486,191.20714,10.20424,13.691694,29.761366,219.7098,43.881752,0,0,0,0,0,0
2018/05/30 15:26:58.000,n,-0.5,0,158.43494,9.81244,65.15702,21.248966,397.54936,19.112486,191.40574,9.81244,13.890278,29.959954,220.2841,44.074968,0,0,0,0,0,0
2018/05/30 15:26:59.004,n,-0.5,0,158.24172,10.20424,65.350236,21.055746,397.54936,18.73142,191.40574,10.20424,13.691694,29.959954,219.90304,44.074968,0,0,0,0,0,0
2018/05/30 15:27:00.009,n,-0.5,0,157.8553,10.011024,64.775956,21.055746,397.94116,18.924636,191.20714,10.011024,14.083494,29.761366,219.7098,43.881752,0,0,0,0,0,0
2018/05/30 15:27:01.000,n,-0.5,0,157.46884,9.23279,64.963808,20.663938,397.36152,18.532836,191.01394,9.619224,14.083494,29.761366,219.5166,43.6939,0,0,0,0,0,0
2018/05/30 15:27:02.004,n,-0.5,0,157.6567,9.426006,64.19094,21.248966,396.97508,18.33962,190.43964,9.81244,13.310628,29.374928,219.5166,43.6939,0,0,0,0,0,0
2018/05/30 15:27:03.009,n,-0.5,0,157.6567,10.011024,65.15702,21.630038,397.16832,18.532836,190.8207,9.426006,14.083494,29.374928,219.7098,43.6939,0,0,0,0,0,0
2018/05/30 15:27:04.000,n,-0.5,0,157.8553,9.81244,64.963808,20.857158,397.16832,18.73142,191.20714,9.81244,13.890278,29.959954,219.90304,43.6939,0,0,0,0,0,0
2018/05/30 15:27:05.003,n,-0.5,0,157.6567,9.426006,64.963808,20.47072,396.97508,18.33962,190.63286,9.426006,13.890278,29.374928,219.5166,43.6939,0,0,0,0,0,0
2018/05/30 15:27:06.010,n,-0.5,0,157.6567,9.23279,64.775956,21.248966,397.36152,18.33962,190.8207,10.011024,13.691694,29.374928,219.1248,43.6939,0,0,0,0,0,0
2018/05/30 15:27:07.000,n,-0.5,0,157.8553,9.426006,64.58274,20.857158,397.16832,18.532836,191.01394,9.81244,13.890278,29.761366,219.5166,43.500688,0,0,0,0,0,0
2018/05/30 15:27:08.002,n,-0.5,0,158.04852,9.81244,64.963808,21.248966,397.36152,18.532836,191.01394,9.81244,13.890278,29.959954,219.318,43.6939,0,0,0,0,0,0
2018/05/30 15:27:09.011,n,-0.5,0,158.24172,10.011024,64.775956,21.436818,397.7426,18.73142,191.20714,10.011024,14.083494,29.568146,219.7098,44.074968,0,0,0,0,0,0
2018/05/30 15:27:10.000,n,-0.5,0,157.8553,9.619224,64.963808,21.436818,397.54936,18.532836,191.01394,9.81244,13.691694,29.761366,219.318,43.881752,0,0,0,0,0,0
2018/05/30 15:27:11.001,n,-0.5,0,157.6567,9.426006,64.58274,20.857158,397.36152,18.73142,191.01394,9.81244,13.890278,30.147806,219.318,43.6939,0,0,0,0,0,0
2018/05/30 15:27:12.007,n,-0.5,0,157.46884,9.619224,64.775956,21.248966,397.16832,18.33962,190.8207,9.426006,13.310628,29.181708,219.318,43.6939,0,0,0,0,0,0
2018/05/30 15:27:13.000,n,-0.5,0,157.8553,9.619224,64.58274,21.630038,397.36152,18.532836,191.01394,9.619224,13.691694,29.568146,219.7098,43.881752,0,0,0,0,0,0
2018/05/30 15:27:14.001,n,-0.5,0,157.8553,10.011024,65.15702,21.436818,397.36152,18.532836,191.40574,9.81244,13.691694,29.568146,219.7098,43.881752,0,0,0,0,0,0
2018/05/30 15:27:15.007,n,-0.5,0,157.27562,9.426006,64.963808,20.857158,397.16832,18.33962,190.8207,9.426006,13.691694,29.568146,219.1248,43.6939,0,0,0,0,0,0
2018/05/30 15:27:16.000,n,-0.5,0,157.6567,9.426006,64.775956,20.857158,397.54936,18.532836,190.43964,9.426006,13.890278,29.374928,218.93696,43.6939,0,0,0,0,0,0
2018/05/30 15:27:17.001,n,-0.5,0,157.6567,9.619224,64.963808,21.436818,397.36152,18.73142,191.20714,10.011024,13.691694,29.761366,219.7098,43.500688,0,0,0,0,0,0
2018/05/30 15:27:18.041,n,-0.5,0,158.24172,9.81244,64.775956,21.248966,397.54936,18.532836,190.8207,9.619224,13.691694,29.568146,219.318,43.500688,0,0,0,0,0,0
2018/05/30 15:27:19.000,n,-0.5,0,157.8553,9.81244,64.775956,21.055746,397.16832,18.532836,190.8207,10.011024,13.691694,29.761366,219.7098,43.881752,0,0,0,0,0,0
2018/05/30 15:27:20.000,n,-0.5,0,157.8553,10.20424,65.15702,21.055746,397.36152,18.73142,191.40574,10.20424,13.691694,29.761366,219.7098,43.881752,0,0,0,0,0,0
2018/05/30 15:27:21.006,n,-0.5,0,158.6228,10.392088,64.963808,21.436818,397.94116,18.924636,191.20714,10.20424,13.691694,29.959954,219.5166,43.881752,0,0,0,0,0,0
